title,level,school,casting time,range,components,duration,source,spell lists,description
Poison Spray,0,conjuration,1 action,10 feet,"V, S",Instantaneous,Player's Handbook,"Artificer, Druid, Sorcerer, Warlock, Wizard","<p>You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage.</p><p><strong><em>At Higher Levels.</em></strong> This spell’s damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12).</p>"
Primal Savagery,0,transmutation,1 action,Self,S,Instantaneous,Xanathar's Guide to Everything,Druid,"<p>You channel primal magic to cause your teeth or fingernails to sharpen, ready to deliver a corrosive attack. Make a melee spell attack against one creature within 5 feet of you. On a hit, the target takes 1d10 acid damage. After you make the attack, your teeth or fingernails return to normal.</p><p><strong><em>At Higher Levels.</em></strong> The spell’s damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).</p>"
Produce Flame,0,conjuration,1 action,Self,"V, S",10 minutes,Player's Handbook,Druid,"<p>A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The spell ends if you dismiss it as an action or if you cast it again.</p><p>You can also attack with the flame, although doing so ends the spell. When you cast this spell, or as an action on a later turn, you can hurl the flame at a creature within 30 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 fire damage.</p><p><strong><em>At Higher Levels.</em></strong> This spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).</p>"
Resistance,0,abjuration,1 action,Touch,"V, S, M (a miniature cloak)","Concentration, up to 1 minute",Player's Handbook,"Artificer, Cleric, Druid","<p>You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after the saving throw. The spell then ends.</p>"
Shape Water,0,transmutation,1 action,30 feet,S,Instantaneous or 1 hour,Xanathar's Guide to Everything,"Druid, Sorcerer, Wizard","<p>You choose an area of water that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways:</p><ul>
<li>You instantaneously move or otherwise change the flow of the water as you direct, up to 5 feet in any direction. This movement doesn’t have enough force to cause damage.</li>
</ul><ul>
<li>You cause the water to form into simple shapes and animate at your direction. This change lasts for 1 hour.</li>
</ul><ul>
<li>You change the water’s color or opacity. The water must be changed in the same way throughout. This change lasts for 1 hour.</li>
</ul><ul>
<li>You freeze the water, provided that there are no creatures in it. The water unfreezes in 1 hour.</li>
</ul><p>If you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.</p>"
Shillelagh,0,transmutation,1 bonus action,Touch,"V, S, M (mistletoe, a shamrock leaf, and a club or quarterstaff)",1 minute,Player's Handbook,Druid,"<p>The wood of a club or quarterstaff you are holding is imbued with nature’s power. For the duration, you can use your spellcasting ability instead of Strength for the attack and damage rolls of melee attacks using that weapon, and the weapon’s damage die becomes a d8. The weapon also becomes magical, if it isn’t already. The spell ends if you cast it again or if you let go of the weapon.</p>"
Thorn Whip,0,transmutation,1 action,30 feet,"V, S, M (the stem of a plant with thorns)",Instantaneous,Player's Handbook,"Artificer, Druid","<p>You create a long, vine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. If the attack hits, the creature takes 1d6 piercing damage, and if the creature is Large or smaller, you pull the creature up to 10 feet closer to you.</p><p><strong><em>At Higher Levels.</em></strong> This spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).</p>"
Thunderclap,0,evocation,1 action,Self (5-foot radius),S,Instantaneous,Xanathar's Guide to Everything,"Bard, Druid, Sorcerer, Warlock, Wizard, Artificer","<p>You create a burst of thunderous sound, which can be heard 100 feet away. Each creature other than you within 5 feet of you must make a Constitution saving throw. On a failed save, the creature takes 1d6 thunder damage.</p><p><strong><em>At Higher Levels.</em></strong> The spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).</p>"
Absorb Elements,1,abjuration,"1 reaction, which you take when you take acid, cold, fire, lightning, or thunder damage",Self,S,1 round,Xanathar's Guide to Everything,"Artificer, Druid, Ranger, Sorcerer, Wizard","<p>The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering damage type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type, and the spell ends.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st.</p>"
Animal Friendship,1,enchantment,1 action,30 feet,"V, S, M (a morsel of food)",24 hours,Player's Handbook,"Bard, Druid, Ranger","<p>This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast’s Intelligence is 4 or higher, the spell fails. Otherwise, the beast must succeed on a Wisdom saving throw or be charmed by you for the spell’s duration. If you or one of your companions harms the target, the spell ends.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional beast for each slot level above 1st.</p>"
Beast Bond,1,divination,1 action,Touch,"V, S, M (a bit of fur wrapped in cloth)","Concentration, up to 10 minutes",Xanathar's Guide to Everything,"Druid, Ranger","<p>You establish a telepathic link with one beast you touch that is friendly to you or charmed by you. The spell fails if the beast’s Intelligence is 4 or higher. Until the spell ends, the link is active while you and the beast are within line of sight of each other. Through the link, the beast can understand your telepathic messages to it, and it can telepathically communicate simple emotions and concepts back to you. While the link is active, the beast gains advantage on attack rolls against any creature within 5 feet of you that you can see.</p>"
Charm Person,1,enchantment,1 action,30 feet,"V, S",1 hour,Player's Handbook,"Bard, Druid, Sorcerer, Warlock, Wizard","<p>You attempt to charm a humanoid you can see within range. It must make a Wisdom saving throw, and does so with advantage if you or your companions are fighting it. If it fails the saving throw, it is charmed by you until the spell ends or until you or your companions do anything harmful to it. The charmed creature regards you as a friendly acquaintance. When the spell ends, the creature knows it was charmed by you.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.</p>"
Create or Destroy Water,1,transmutation,1 action,30 feet,"V, S, M (a drop of water if creating water or a few grains of sand if destroying it)",Instantaneous,Player's Handbook,"Cleric, Druid","<p>You either create or destroy water.</p><p><strong><em>Create Water.</em></strong> You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot cube within range, extinguishing exposed flames in the area.</p><p><strong><em>Destroy Water.</em></strong> You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot cube within range.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot level above 1st.</p>"
Cure Wounds,1,evocation,1 action,Touch,"V, S",Instantaneous,Player's Handbook,"Artificer, Bard, Cleric, Druid, Paladin, Ranger","<p>A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st.</p>"
Detect Magic,1,divination,1 action,Self,"V, S","Concentration, up to 10 minutes",Player's Handbook,"Artificer, Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard","<p>For the duration, you sense the presence of magic within 30 feet of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any.</p><p>The spell can penetrate most barriers, but is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.</p>"
Detect Poison and Disease,1,divination,1 action,Self,"V, S, M (a yew leaf)","Concentration, up to 10 minutes",Player's Handbook,"Cleric, Druid, Paladin, Ranger","<p>For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within 30 feet of you. You also identify the kind of poison, poisonous creature, or disease in each case.</p><p>The spell can penetrate most barriers, but is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.</p>"
Earth Tremor,1,evocation,1 action,Self (10-foot radius),"V, S",Instantaneous,Xanathar's Guide to Everything/Elemental Evil Player's Companion,"Bard, Druid, Sorcerer, Wizard","<p>You cause a tremor in the ground in a 10-foot radius. Each creature other than you in that area must make a Dexterity saving throw. On a failed save, a creature takes 1d6 bludgeoning damage and is knocked prone. If the ground in that area is loose earth or stone, it becomes difficult terrain until cleared.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.</p>"
Entangle,1,conjuration,1 action,90 feet,"V, S","Concentration, up to 1 minute",Player's Handbook,"Druid, Ranger (Optional)","<p>Grasping weeds and vines sprout from the ground in a 20-foot square starting from a point within range. For the duration, these plants turn the ground in the area into difficult terrain.</p><p>A creature in the area when you cast the spell must succeed on a Strength saving throw or be restrained by the entangling plants until the spell ends. A creature restrained by the plants can use its action to make a Strength check against your spell save DC. On a success, it frees itself.</p><p>When the spell ends, the conjured plants wilt away.</p>"
Faerie Fire,1,evocation,1 action,60 feet,V,"Concentration, up to 1 minute",Player's Handbook,"Artificer, Bard, Druid","<p>Each object in a 20-foot cube within range is outlined in blue, green, or violet light (your choice).</p><p>Any creature in the area when the spell is cast is also outlined in light if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed dim light in a 10-foot radius.</p><p>Any attack roll against an affected creature or object has advantage if the attacker can see it, and the affected creature or object can’t benefit from being invisible.</p>"
Fog Cloud,1,conjuration,1 action,120 feet,"V, S","Concentration, up to 1 hour",Player's Handbook,"Druid, Ranger, Sorcerer, Wizard","<p>You create a 20-foot-radius sphere of fog centered on a point within range. The sphere spreads around corners, and its area is heavily obscured. It lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, the radius of the fog increases by 20 feet for each slot level above 1st.</p>"
Goodberry,1,transmutation,1 action,Touch,"V, S, M (a sprig of mistletoe)",Instantaneous,Player's Handbook,"Druid, Ranger","<p>Up to ten berries appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit point, and the berry provides enough nourishment to sustain a creature for one day.</p><p>The berries lose their potency if they have not been consumed within 24 hours of the casting of this spell.</p>"
Guiding Hand (UA),1,divination,1 minute,5 feet,"V, S","Concentration, up to 8 hours",Unearthed Arcana 36 - Starter Spells,"Bard, Cleric, Druid, Wizard","<p>You create a Tiny incorporeal hand of shimmering light in an unoccupied space you can see within range. The hand exists for the duration, but it disappears if you teleport or you travel to a different plane of existence.</p><p>When the hand appears, you name one major landmark, such as a city, mountain, castle, or battlefield on the same plane of existence as you. Someone in history must have visited the site and mapped it. If the landmark appears on no map in existence, the spell fails. Otherwise, whenever you move toward the hand, it moves away from you at the same speed you moved, and it moves in the direction of the landmark, always remaining 5 feet away from you.</p><p>If you don’t move toward the hand, it remains in place until you do and beckons for you to follow once every 1d4 minutes.</p>"
Healing Word,1,evocation,1 bonus action,60 feet,V,Instantaneous,Player's Handbook,"Bard, Cleric, Druid","<p>A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d4 for each slot level above 1st.</p>"
Ice Knife,1,conjuration,1 action,60 feet,"S, M (a drop of water or piece of ice)",Instantaneous,Xanathar's Guide to Everything,"Druid, Sorcerer, Wizard","<p>You create a shard of ice and fling it at one creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 piercing damage. Hit or miss, the shard then explodes. The target and each creature within 5 feet of the point where the ice exploded must succeed on a Dexterity saving throw or take 2d6 cold damage.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, the cold damage increases by 1d6 for each slot level above 1st.</p>"
Jump,1,transmutation,1 action,Touch,"V, S, M (a grasshopper’s hind leg)",1 minute,Player's Handbook,"Artificer, Druid, Ranger, Sorcerer, Wizard",<p>You touch a creature. The creature’s jump distance is tripled until the spell ends.</p>
Longstrider,1,transmutation,1 action,Touch,"V, S, M (a pinch of dirt)",1 hour,Player's Handbook,"Artificer, Bard, Druid, Ranger, Wizard","<p>You touch a creature. The target’s speed increases by 10 feet until the spell ends.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.</p>"
Protection from Evil and Good,1,abjuration,1 action,Touch,"V, S, M (holy water or powdered silver and iron, which the spell consumes)","Concentration, up to 10 minutes",Player's Handbook,"Cleric, Druid (Optional), Paladin, Warlock, Wizard","<p>Until the spell ends, one willing creature you touch is protected against certain types of creatures: aberrations, celestials, elementals, fey, fiends, and undead.</p><p>The protection grants several benefits. Creatures of those types have disadvantage on attack rolls against the target. The target also can't be charmed, frightened, or possessed by them. If the target is already charmed, frightened, or possessed by such a creature, the target has advantage on any new saving throw against the relevant effect.</p>"
Purify Food and Drink,1,transmutation,1 action,10 feet,"V, S",Instantaneous,Player's Handbook,"Artificer, Cleric, Druid, Paladin",<p>All nonmagical food and drink within a 5-foot-radius sphere centered on a point of your choice within range is purified and rendered free of poison and disease.</p>
Snare,1,abjuration,1 minute,Touch,"V, S, M (30 feet of cord or rope, which is consumed by the spell)",Until dispelled or triggered,Xanathar's Guide to Everything,"Artificer, Druid, Ranger, Wizard","<p>While you cast this spell, you use the cord or rope to create a circle with a 5-foot radius on a flat surface within your reach. When you finish casting, the cord or rope disappears to become a magical trap.</p><p>The trap is nearly invisible and requires a successful Intelligence (Investigation) check against your spell save DC to be found.</p><p>The trap triggers when a Small creature or larger moves into the area protected by the spell. The triggering creature must succeed on a Dexterity saving throw or fall prone and be hoisted into the air until it hangs upside down 3 feet above the protected surface, where it is restrained.</p><p>The restrained creature can make a Dexterity saving throw with disadvantage at the end of each of its turns and ends the restrained effect on a success. Alternatively, another creature that can reach the restrained creature can use an action to make an Intelligence (Arcana) check against your spell save DC. On a success, the restrained effect also ends.</p>"
Speak with Animals,1,divination,1 action,Self,"V, S",10 minutes,Player's Handbook,"Bard, Druid, Ranger","<p>You gain the ability to comprehend and verbally communicate with beasts for the duration. The knowledge and awareness of many beasts is limited by their intelligence, but at minimum, beasts can give you information about nearby locations and monsters, including whatever they can perceive or have perceived within the past day. You might be able to persuade a beast to perform a small favor for you, at the DM’s discretion.</p>"
Thunderwave,1,evocation,1 action,Self (15-foot cube),"V, S",Instantaneous,Player's Handbook,"Bard, Druid, Sorcerer, Wizard","<p>A wave of thunderous force sweeps out from you. Each creature in a 15-foot cube originating from you must make a Constitution saving throw. On a failed save, a creature takes 2d8 thunder damage and is pushed 10 feet away from you. On a successful save, the creature takes half as much damage and isn’t pushed.</p><p>In addition, unsecured objects that are completely within the area of effect are automatically pushed 10 feet away from you by the spell’s effect, and the spell emits a thunderous boom audible out to 300 feet.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st.</p>"
Wild Cunning (UA),1,transmutation,1 action,120 feet,"V, S",Instantaneous,Unearthed Arcana 36 - Starter Spells,"Druid, Ranger","<p>You call out to the spirits of nature to aid you. When you cast this spell, choose one of the following effects:</p><ul>
<li>If there are any tracks on the ground within range, you know where they are, and you make Wisdom (Survival) checks to follow these tracks with advantage for 1 hour or until you cast this spell again.</li>
</ul><ul>
<li>If there is edible forage within range, you know it and where to find it.</li>
</ul><ul>
<li>If there is clean drinking water within range, you know it and where to find it.</li>
</ul><ul>
<li>If there is suitable shelter for you and your companions within range, you know it and where to find it.</li>
</ul><ul>
<li>Send the spirits to bring back wood for a fire and to set up a campsite in the area using your supplies. The spirits build the fire in a circle of stones, put up tents, unroll bedrolls, and put out any rations and water for consumption.</li>
</ul><ul>
<li>Have the spirits instantly break down a campsite, which includes putting out a fire, taking down tents, packing up bags, and burying any rubbish.</li>
</ul>"
Air Bubble,2,conjuration,1 action,60 feet,S,24 hours,Spelljammer: Adventures in Space - Astral Adventurer's Guide,"Artificer, Druid, Ranger, Sorcerer, Wizard","<p>You create a spectral globe around the head of a willing creature you can see within range. The globe is filled with fresh air that lasts until the spell ends. If the creature has more than one head, the globe of air appears around only one of its heads (which is all the creature needs to avoid suffocation, assuming that all its heads share the same respiratory system).</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, you can create two additional globes of fresh air for each slot level above 2nd.</p>"
Animal Messenger,2,enchantment,1 action,30 feet,"V, S, M (a morsel of food)",24 hours,Player's Handbook,"Bard, Druid, Ranger","<p>By means of this spell, you use an animal to deliver a message. Choose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as “a man or woman dressed in the uniform of the town guard” or “a red-haired dwarf wearing a pointed hat.” You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified location, covering about 50 miles per 24 hours for a flying messenger, or 25 miles for other animals.</p><p>When the messenger arrives, it delivers your message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn’t reach its destination before the spell ends, the message is lost, and the beast makes its way back to where you cast this spell.</p><p><strong><em>At Higher Levels.</em></strong> If you cast this spell using a spell slot of 3rd level or higher, the duration of the spell increases by 48 hours for each slot level above 2nd.</p>"
Augury,2,divination,1 minute,Self,"V, S, M (specially marked sticks, bones, or similar tokens worth at least 25 gp)",Instantaneous,Player's Handbook,"Cleric, Druid (Optional), Wizard (Optional)","<p>By casting gem-inlaid sticks, rolling dragon bones, laying out ornate cards, or employing some other divining tool, you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from the following possible omens:</p><ul>
<li>Weal, for good results</li>
</ul><ul>
<li>Woe, for bad results</li>
</ul><ul>
<li>Weal and woe, for both good and bad results</li>
</ul><ul>
<li>Nothing, for results that aren’t especially good or bad</li>
</ul><p>The spell doesn’t take into account any possible circumstances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion. If you cast the spell two or more times before completing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in secret.</p>"
Barkskin,2,transmutation,1 action,Touch,"V, S, M (a handful of oak bark)","Concentration, up to 1 hour",Player's Handbook,"Druid, Ranger","<p>You touch a willing creature. Until the spell ends, the target’s skin has a rough, bark-like appearance, and the target’s AC can’t be less than 16, regardless of what kind of armor it is wearing.</p>"
Beast Sense,2,divination,1 action,Touch,S,"Concentration, up to 1 hour",Player's Handbook,"Druid, Ranger","<p>You touch a willing beast. For the duration of the spell, you can use your action to see through the beast’s eyes and hear what it hears, and continue to do so until you use your action to return to your normal senses.</p>"
Continual Flame,2,evocation,1 action,Touch,"V, S, M (ruby dust worth 50 gp, which the spell consumes)",Until dispelled,Player's Handbook,"Artificer, Cleric, Druid (Optional), Wizard","<p>A flame, equivalent in brightness to a torch, springs forth from an object that you touch. The effect looks like a regular flame, but it creates no heat and doesn’t use oxygen. A continual flame can be covered or hidden but not smothered or quenched.</p>"
Darkvision,2,transmutation,1 action,Touch,"V, S, M (either a pinch of dried carrot or an agate)",8 hours,Player's Handbook,"Artificer, Druid, Ranger, Sorcerer, Wizard","<p>You touch a willing creature to grant it the ability to see in the dark. For the duration, that creature has darkvision out to a range of 60 feet.</p>"
Dust Devil,2,conjuration,1 action,60 feet,"V, S, M (a pinch of dust)","Concentration, up to 1 minute",Xanathar's Guide to Everything,"Druid, Sorcerer, Wizard","<p>Choose an unoccupied 5-foot cube of air that you can see within range. An elemental force that resembles a dust devil appears in the cube and lasts for the spell’s duration.</p><p>Any creature that ends its turn within 5 feet of the dust devil must make a Strength saving throw. On a failed save, the creature takes 1d8 bludgeoning damage and is pushed 10 feet away. On a successful save, the creature takes half as much damage and isn’t pushed.</p><p>As a bonus action, you can move the dust devil up to 30 feet in any direction. If the dust devil moves over sand, dust, loose dirt, or small gravel, it sucks up the material and forms a 10-foot-radius cloud of debris around itself that lasts until the start of your next turn. The cloud heavily obscures its area.</p><p><strong><em>At Higher Levels.</em></strong> When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.</p>"
Earthbind,2,transmutation,1 action,300 feet,V,"Concentration, up to 1 minute",Xanathar's Guide to Everything,"Druid, Sorcerer, Warlock, Wizard",<p>Choose one creature you can see within range. Yellow strips of magical energy loop around the creature. The target must succeed on a Strength saving throw or its flying speed (if any) is reduced to 0 feet for the spell’s duration. An airborne creature affected by this spell descends at 60 feet per round until it reaches the ground or the spell ends.</p>
